Year,LSWI
1999,0.029254863038659096
2000,0.024505415310462315
2001,0.037725671398220584
2002,0.030596081855911495
2003,0.03710290789604188
2004,0.035234834998846054
2005,0.033768392131700145
2006,0.033049004330376906
2007,0.029536714056628433
2008,0.03142208653123012
2009,0.02590185854882521
2010,0.03839471587583443
2011,0.04116608947515488
2012,0.02651494251465244
2013,0.029654905278458384
2014,0.025247917698306057
2015,0.04044979438185692
2016,0.028612148016691208
2017,0.04449743777513504
2018,0.038222712434828277
2019,0.040257785550049184
2020,0.039932378827828144
2021,0.03878142765682677
