Year,LSWI
1999,0.043927205976571605
2000,0.04773260594063151
2001,0.07699481991559826
2002,0.0854616619861443
2003,0.10244256959380894
2004,0.047910218240441046
2005,0.045935245796177485
2006,0.05380000389673835
2007,0.04590490164102107
2008,0.05374823345474819
2009,0.0693858046781052
2010,0.03998397492561672
2011,0.06925531832027601
2012,0.05320401962547786
2013,0.05573440640632285
2014,0.06735428235501631
2015,0.07724911047544611
2016,0.06926470888950792
2017,0.07955617463268744
2018,0.0766682254371635
2019,0.07908215194510061
2020,0.06938967851299449
2021,0.06930738661280249
